classification,mean,std,sum,win_rate,trade_count
Extreme Fear,71.02731582644628,1628.408341469025,739110.24849,0.7621564482029598,10406
Fear,112.62598770940687,1344.778427010174,3357155.441642,0.8728864734299517,29808
Neutral,71.19999314664905,743.2128626515139,1292920.67555,0.8238889806707418,18159
Greed,85.40392727005879,1576.3947640275383,2150129.272951,0.7689068954559898,25176
Extreme Greed,130.20530910051312,1058.1261390742845,2715171.310673,0.8916702632714717,20853
