Account,Activity,Avg_Size,Total_PnL,PnL_Volatility,Win_Rate,Cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,16159.57673389209,1600229.819979,4692.452328769463,0.7927251732101617,2
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,1653.2263269230768,47885.320514,134.07347277629353,0.7736437830052808,0
0x271b280974205ca63b716753467d5a371de622ab,3809,8893.000897873459,-70436.191318,542.1826592941622,0.7156191661481021,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,507.6269326121253,132464.814554,113.26935264594304,0.8620791494388659,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,3138.894782340228,168658.004994,255.82909123366827,0.8174757281553398,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,1729.9411042944785,-31203.599986,558.7787526232372,0.6508771929824562,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,4790.5754862078575,14456.919335999997,730.495483644371,0.66553480475382,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,3445.471265060241,53496.247243,1279.8557881354639,1.0,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,5189.367127937337,199505.592732,2228.336140282739,1.0,0
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,2397.824753435732,416541.872341,1649.4975803457905,1.0,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,517.5289235825802,103343.716161,88.29284150392282,0.822003822003822,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,9084.699093204776,677747.050643,855.3540027082513,0.948499776085983,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,17098.171054852322,308975.869716,656.6936282172401,0.9267548321464903,3
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,34396.58028440667,840422.555216,639.4024436908079,0.8954761036118205,3
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,746.7256512820513,108731.216772,468.99598178257963,0.9882629107981221,0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,7216.667245283019,429355.565915,2525.2404372348287,0.746268656716418,0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1430,2133.6673636363635,403011.504159,1591.523957653427,0.776595744680851,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,2600.7780491256444,379095.406711,172.52077341762578,0.9263279445727483,0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,3748.8675112251444,14900.443047,72.5611952371814,0.9450402144772118,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,2204.6855314062163,-167621.124781,1647.7789842055993,0.7522426313541222,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,6279.002286760858,65513.657906,325.75560971336085,0.8837535014005602,0
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,820.4285131350847,43917.008976,68.6130409480178,0.5990242415002287,0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,3601.689298820446,126578.942134,220.3877348338997,0.976457399103139,0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,1273.1950003204101,106302.875256,68.2349036218229,0.9703290775040461,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,2066.6892086330936,72846.484272,976.068751360001,0.9372549019607843,0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,2979.4417761989343,67845.619531,474.8098365007934,1.0,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,8330.193370786517,21758.831753,288.26612386189584,0.7478260869565218,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,3837.885375008484,2143382.597689,1374.0264020518678,0.7910495301799649,2
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,22504.555828854896,22488.500821,332.0834053908585,0.8034835289663006,3
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,3210.472831257078,940163.80622,567.7627628499143,0.9911973592077623,1
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,7852.098337750852,220519.061853,1530.5250331047494,0.7349192863211554,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,1844.2118863229146,836080.553077,264.1238803160226,0.7630703738193428,1
